Symbol,FPKM_6e,FPKM_ac2,FPKM_sc,FPKM_wt
B3GALT6,11.5345,9.34079,14.2834,12.278
MAN1C1,3.19328,2.04295,2.18362,2.57772
EXTL1,0.50076,0.287457,0.115276,0.0252205
PIGV,2.59712,1.99961,2.11858,2.7575
A3GALT2,0,0,0,0.0582502
ST3GAL3,14.9521,5.54964,6.1105,3.5991
B4GALT2,36.8401,21.7741,38.6949,29.7392
POMGNT1,36.9739,27.9738,26.1675,36.0662
ALG6,14.8573,12.0601,14.6174,10.7622
ST6GALNAC3,3.61289,3.26218,4.81197,3.3242
ST6GALNAC5,0.272733,1.10688,1.38951,0.275887
HS2ST1,12.6477,14.9181,11.2027,14.4967
ALG14,4.79544,2.89293,24.2926,3.38573
EXTL2,7.38314,4.73804,4.52839,3.98453
MAN1A2,8.33599,6.49959,4.14754,6.47853
PIGM,3.6257,5.5302,4.57129,5.25618
B4GALT3,18.2435,17.4206,17.4956,16.9849
COLGALT2,2.20105,0.991402,1.74753,0.936741
B3GALT2,0.0622846,0,0,0
MGAT4EP,0,0,0.113311,0
GALNT2,41.3535,34.8813,27.7858,54.8703
B3GALNT2,11.7521,9.59963,10.533,12.2606
ST8SIA6,0.0461123,0.139649,0.324837,0.231547
CSGALNACT2,3.93233,4.43827,3.65374,4.03368
CHST3,4.53923,3.21584,2.96565,3.09245
FUT11,7.51957,6.07916,5.04119,5.28609
NDST2,13.4368,12.9543,5.94255,12.2533
MGEA5,28.8648,18.4064,21.9752,22.535
CHST15,5.55132,3.31482,1.99879,4.74368
B4GALNT4,15.6821,10.6916,8.70101,7.20098
GALNT18,5.23523,3.39801,5.35241,2.83792
EXT2,21.6862,23.5499,13.5828,29.9436
CHST1,0.285138,0.172759,0.112159,0.324671
B3GAT3,23.936,23.8788,11.7982,17.3646
PYGM,0.345251,0.100229,0.0609853,0.0844493
GAL3ST3,0.0342115,0,0,0
B4GAT1,22.3469,21.4189,21.748,20.0378
B3GNT6,0.0207837,0,0,0
ALG8,19.8019,26.4529,25.196,36.8868
FUT4,1.07375,0.949524,0.779351,1.53851
KDELC2,11.4112,19.7961,12.1866,13.4997
ALG9,8.07769,13.1394,11.2125,14.2976
DPAGT1,9.40907,14.4294,14.2875,18.6362
STT3A,39.066,73.6704,57.6668,74.1286
ST3GAL4,7.13344,6.47474,6.63016,9.28607
B3GAT1,0.642983,0.342848,1.10463,1.85873
B4GALNT3,13.9115,10.8587,14.5398,12.1993
GALNT8,0.898477,0.21671,0.0703068,0.745808
GYS2,0,0.0494657,0.0160541,0.0164032
ST8SIA1,0,0,0.0483034,0
TMTC1,4.75838,7.00319,8.66206,6.25441
ALG10,2.99274,5.2721,3.42401,2.38461
ALG10B,5.99517,6.70948,5.13074,4.1247
GXYLT1,11.3495,13.3668,11.5696,10.6806
GALNT6,6.808,3.03287,4.62645,3.83133
B4GALNT1,4.49597,1.75156,1.534,1.73413
DPY19L2,0.511963,2.43699,4.37729,3.54813
TMEM5,8.74002,10.4135,8.96689,8.67818
